index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
0,"[35, 40[",State-gov,*,Bachelors,13,Never-married,Adm-clerical, Not-in-family,White,Male,2174,0,40,North America, <=50K
1,"[50, 55[",Self-emp-not-inc,*,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,White,Male,0,0,13,North America, <=50K
2,"[35, 40[",Private,*,HS-grad,9,Divorced,Handlers-cleaners, Not-in-family,White,Male,0,0,40,North America, <=50K
3,"[50, 55[",Private,*,11th,7,Married-civ-spouse,Handlers-cleaners, Husband,Black,Male,0,0,40,North America, <=50K
4,"[25, 30[",Private,*,Bachelors,13,Married-civ-spouse,Prof-specialty, Wife,Black,Female,0,0,40,North America, <=50K
5,"[35, 40[",Private,*,Masters,14,Married-civ-spouse,Exec-managerial, Wife,White,Female,0,0,40,North America, <=50K
7,"[50, 55[",Self-emp-not-inc,*,HS-grad,9,Married-civ-spouse,Exec-managerial, Husband,White,Male,0,0,45,North America, >50K
8,"[30, 35[",Private,*,Masters,14,Never-married,Prof-specialty, Not-in-family,White,Female,14084,0,50,North America, >50K
9,"[40, 45[",Private,*,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,White,Male,5178,0,40,North America, >50K
10,"[35, 40[",Private,*,Some-college,10,Married-civ-spouse,Exec-managerial, Husband,Black,Male,0,0,80,North America, >50K
11,"[30, 35[",State-gov,*,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,Asian-Pac-Islander,Male,0,0,40,Asia, >50K
12,"[20, 25[",Private,*,Bachelors,13,Never-married,Adm-clerical, Own-child,White,Female,0,0,30,North America, <=50K
16,"[25, 30[",Self-emp-not-inc,*,HS-grad,9,Never-married,Farming-fishing, Own-child,White,Male,0,0,35,North America, <=50K
17,"[30, 35[",Private,*,HS-grad,9,Never-married,Machine-op-inspct, Unmarried,White,Male,0,0,40,North America, <=50K
18,"[35, 40[",Private,*,11th,7,Married-civ-spouse,Sales, Husband,White,Male,0,0,50,North America, <=50K
19,"[40, 45[",Self-emp-not-inc,*,Masters,14,Divorced,Exec-managerial, Unmarried,White,Female,0,0,45,North America, >50K
20,"[40, 45[",Private,*,Doctorate,16,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,0,60,North America, >50K
21,"[50, 55[",Private,*,HS-grad,9,Separated,Other-service, Unmarried,Black,Female,0,0,20,North America, <=50K
23,"[40, 45[",Private,*,11th,7,Married-civ-spouse,Transport-moving, Husband,White,Male,0,2042,40,North America, <=50K
25,"[55, 60[",Local-gov,*,Bachelors,13,Married-civ-spouse,Tech-support, Husband,White,Male,0,0,40,North America, >50K
26,"[15, 20[",Private,*,HS-grad,9,Never-married,Craft-repair, Own-child,White,Male,0,0,40,North America, <=50K
28,"[35, 40[",Private,*,HS-grad,9,Divorced,Exec-managerial, Not-in-family,White,Male,0,0,80,North America, <=50K
29,"[45, 50[",Private,*,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,White,Male,0,0,40,North America, <=50K
30,"[20, 25[",Local-gov,*,Assoc-acdm,12,Never-married,Protective-serv, Not-in-family,White,Male,0,0,52,North America, <=50K
31,"[20, 25[",Private,*,Some-college,10,Never-married,Sales, Own-child,Black,Male,0,0,44,North America, <=50K
32,"[45, 50[",Private,*,Bachelors,13,Divorced,Exec-managerial, Own-child,White,Male,0,1408,40,North America, <=50K
33,"[30, 35[",Federal-gov,*,Some-college,10,Married-civ-spouse,Adm-clerical, Own-child,White,Male,0,0,40,North America, <=50K
34,"[20, 25[",State-gov,*,Some-college,10,Married-civ-spouse,Other-service, Husband,Black,Male,0,0,15,North America, <=50K
36,"[20, 25[",Private,*,Some-college,10,Never-married,Machine-op-inspct, Own-child,White,Male,0,0,40,North America, <=50K
39,"[45, 50[",Self-emp-not-inc,*,Assoc-acdm,12,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,0,40,North America, <=50K
40,"[30, 35[",Private,*,9th,5,Married-civ-spouse,Machine-op-inspct, Husband,White,Male,0,0,43,North America, <=50K
41,"[50, 55[",Self-emp-not-inc,*,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,0,40,North America, <=50K
42,"[20, 25[",Private,*,Bachelors,13,Married-civ-spouse,Tech-support, Husband,White,Male,0,0,50,North America, <=50K
43,"[45, 50[",Private,*,HS-grad,9,Separated,Adm-clerical, Unmarried,White,Female,0,0,40,North America, <=50K
44,"[25, 30[",Private,*,HS-grad,9,Never-married,Handlers-cleaners, Not-in-family,White,Male,0,0,35,North America, <=50K
45,"[55, 60[",Federal-gov,*,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,Black,Male,0,0,40,North America, >50K
46,"[50, 55[",Private,*,HS-grad,9,Married-civ-spouse,Machine-op-inspct, Husband,White,Male,0,0,38,North America, <=50K
47,"[40, 45[",Private,*,Masters,14,Divorced,Exec-managerial, Unmarried,White,Female,0,0,40,North America, <=50K
48,"[40, 45[",State-gov,*,Assoc-voc,11,Married-civ-spouse,Craft-repair, Husband,White,Male,0,0,40,North America, <=50K
49,"[25, 30[",Private,*,Assoc-voc,11,Never-married,Prof-specialty, Not-in-family,White,Male,0,0,43,North America, <=50K
52,"[45, 50[",Private,*,Prof-school,15,Married-civ-spouse,Prof-specialty, Wife,White,Female,0,1902,60,North America, >50K
53,"[50, 55[",Federal-gov,*,Bachelors,13,Divorced,Exec-managerial, Not-in-family,White,Male,0,0,55,North America, >50K
54,"[45, 50[",Self-emp-inc,*,HS-grad,9,Divorced,Exec-managerial, Not-in-family,White,Male,0,0,60,North America, <=50K
55,"[40, 45[",Private,*,Some-college,10,Married-civ-spouse,Tech-support, Husband,White,Male,0,0,40,North America, >50K
56,"[45, 50[",Private,*,5th-6th,3,Married-civ-spouse,Machine-op-inspct, Husband,White,Male,0,0,40,North America, <=50K
57,"[35, 40[",Private,*,Assoc-voc,11,Married-civ-spouse,Other-service, Husband,White,Male,0,0,40,North America, <=50K
58,"[40, 45[",Private,*,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,White,Male,0,0,48,North America, <=50K
59,"[30, 35[",Private,*,HS-grad,9,Married-civ-spouse,Machine-op-inspct, Husband,White,Male,5013,0,40,North America, <=50K
60,"[30, 35[",Private,*,Bachelors,13,Married-civ-spouse,Sales, Husband,White,Male,2407,0,40,North America, <=50K
62,"[45, 50[",Private,*,HS-grad,9,Married-civ-spouse,Transport-moving, Husband,White,Male,0,0,40,North America, <=50K
63,"[40, 45[",Private,*,Doctorate,16,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,0,45,North America, >50K
64,"[25, 30[",Private,*,Some-college,10,Divorced,Tech-support, Not-in-family,White,Male,0,0,58,North America, <=50K
65,"[35, 40[",Private,*,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,White,Male,0,0,40,North America, <=50K
66,"[25, 30[",Private,*,Some-college,10,Divorced,Adm-clerical, Not-in-family,White,Female,0,0,40,North America, <=50K
67,"[50, 55[",Private,*,HS-grad,9,Married-civ-spouse,Adm-clerical, Wife,White,Female,0,0,40,North America, >50K
68,"[45, 50[",Self-emp-inc,*,Some-college,10,Married-civ-spouse,Exec-managerial, Husband,White,Male,0,0,50,North America, >50K
69,"[25, 30[",?,*,Some-college,10,Never-married,?, Own-child,White,Male,0,0,40,North America, <=50K
70,"[15, 20[",Private,*,Some-college,10,Never-married,Prof-specialty, Own-child,White,Male,0,0,32,North America, <=50K
72,"[25, 30[",Self-emp-not-inc,*,Bachelors,13,Married-civ-spouse,Sales, Husband,White,Male,0,0,70,North America, >50K
73,"[20, 25[",Private,*,Some-college,10,Never-married,Machine-op-inspct, Not-in-family,White,Male,0,0,40,North America, <=50K
75,"[25, 30[",Private,*,HS-grad,9,Never-married,Other-service, Own-child,White,Male,0,0,40,North America, <=50K
76,"[40, 45[",Private,*,Assoc-acdm,12,Married-civ-spouse,Adm-clerical, Husband,White,Male,0,0,40,North America, <=50K
77,"[65, 70[",?,*,10th,6,Married-civ-spouse,?, Husband,White,Male,0,0,2,North America, <=50K
78,"[15, 20[",Private,*,11th,7,Never-married,Other-service, Own-child,White,Female,0,0,22,North America, <=50K
79,"[30, 35[",Local-gov,*,7th-8th,4,Married-civ-spouse,Farming-fishing, Husband,White,Male,0,0,40,North America, <=50K
80,"[15, 20[",Private,*,HS-grad,9,Never-married,Sales, Not-in-family,White,Male,0,0,30,North America, <=50K
81,"[50, 55[",Private,*,Bachelors,13,Married-civ-spouse,Other-service, Husband,White,Male,0,0,40,North America, <=50K
82,"[45, 50[",Private,*,HS-grad,9,Married-civ-spouse,Other-service, Wife,White,Female,0,0,40,North America, <=50K
83,"[55, 60[",Private,*,HS-grad,9,Married-civ-spouse,Sales, Husband,White,Male,0,0,48,North America, <=50K
84,"[40, 45[",Private,*,HS-grad,9,Divorced,Craft-repair, Not-in-family,White,Female,14344,0,40,North America, >50K
85,"[50, 55[",Private,*,HS-grad,9,Divorced,Sales, Own-child,White,Female,0,0,35,North America, <=50K
86,"[45, 50[",Local-gov,*,HS-grad,9,Married-civ-spouse,Protective-serv, Husband,White,Male,0,0,40,North America, >50K
87,"[30, 35[",Private,*,Masters,14,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,0,50,North America, <=50K
88,"[30, 35[",Private,*,9th,5,Never-married,Sales, Not-in-family,White,Male,0,0,40,North America, <=50K
89,"[40, 45[",Federal-gov,*,Doctorate,16,Never-married,Prof-specialty, Not-in-family,White,Female,0,0,50,North America, >50K
90,"[55, 60[",Private,*,Assoc-voc,11,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,0,40,North America, <=50K
91,"[35, 40[",Private,*,Some-college,10,Divorced,Craft-repair, Unmarried,White,Female,0,0,40,North America, <=50K
94,"[30, 35[",Local-gov,*,Bachelors,13,Married-civ-spouse,Protective-serv, Husband,White,Male,0,0,40,North America, >50K
95,"[25, 30[",Local-gov,*,Some-college,10,Never-married,Handlers-cleaners, Not-in-family,White,Male,0,0,50,North America, <=50K
96,"[45, 50[",Self-emp-not-inc,*,Doctorate,16,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,1902,60,North America, >50K
97,"[35, 40[",Private,*,Some-college,10,Married-civ-spouse,Sales, Husband,White,Male,0,0,48,North America, >50K
99,"[30, 35[",Federal-gov,*,HS-grad,9,Never-married,Other-service, Own-child,Black,Male,0,0,40,North America, <=50K
101,"[40, 45[",Private,*,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,White,Male,15024,0,60,North America, >50K
102,"[45, 50[",Self-emp-not-inc,*,Masters,14,Never-married,Prof-specialty, Not-in-family,White,Female,0,0,50,North America, <=50K
103,"[20, 25[",Private,*,Some-college,10,Never-married,Tech-support, Own-child,White,Female,0,0,40,North America, <=50K
104,"[25, 30[",Private,*,HS-grad,9,Never-married,Craft-repair, Not-in-family,White,Male,0,0,40,North America, <=50K
105,"[30, 35[",Self-emp-inc,*,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,White,Male,7688,0,40,North America, >50K
106,"[15, 20[",?,*,10th,6,Never-married,?, Own-child,White,Female,34095,0,32,North America, <=50K
107,"[30, 35[",Private,*,11th,7,Never-married,Handlers-cleaners, Own-child,White,Male,0,0,40,North America, <=50K
108,"[30, 35[",Local-gov,*,HS-grad,9,Never-married,Adm-clerical, Not-in-family,White,Female,0,0,40,North America, <=50K
109,"[40, 45[",Private,*,HS-grad,9,Married-civ-spouse,Handlers-cleaners, Husband,White,Male,0,0,40,North America, <=50K
110,"[20, 25[",Private,*,Bachelors,13,Never-married,Sales, Other-relative,White,Male,0,0,40,North America, <=50K
111,"[35, 40[",Private,*,Prof-school,15,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,0,40,North America, >50K
112,"[55, 60[",Self-emp-not-inc,*,HS-grad,9,Married-civ-spouse,Other-service, Husband,White,Male,0,1887,50,North America, >50K
113,"[25, 30[",Private,*,Some-college,10,Married-civ-spouse,Sales, Wife,White,Female,4064,0,25,North America, <=50K
114,"[35, 40[",Private,*,HS-grad,9,Never-married,Machine-op-inspct, Own-child,White,Female,0,0,40,North America, <=50K
115,"[50, 55[",Private,*,9th,5,Married-civ-spouse,Handlers-cleaners, Husband,White,Male,0,0,50,North America, <=50K
116,"[55, 60[",Self-emp-inc,*,Some-college,10,Married-civ-spouse,Sales, Husband,White,Male,0,0,50,North America, <=50K
117,"[45, 50[",Local-gov,*,Assoc-voc,11,Married-civ-spouse,Craft-repair, Husband,Black,Male,0,0,40,North America, >50K
118,"[55, 60[",Private,*,Some-college,10,Married-civ-spouse,Sales, Husband,White,Male,0,0,56,North America, <=50K
119,"[20, 25[",Private,*,HS-grad,9,Never-married,Craft-repair, Not-in-family,White,Male,0,0,41,North America, <=50K
120,"[20, 25[",Private,*,Some-college,10,Never-married,Other-service, Own-child,White,Female,0,0,40,North America, <=50K
121,"[40, 45[",Private,*,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,White,Male,0,0,60,North America, <=50K
123,"[25, 30[",State-gov,*,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,0,50,North America, >50K
124,"[15, 20[",Private,*,Some-college,10,Never-married,Other-service, Own-child,Black,Male,0,0,35,North America, <=50K
125,"[45, 50[",Private,*,Bachelors,13,Married-civ-spouse,Exec-managerial, Wife,White,Female,0,0,40,North America, >50K
126,"[20, 25[",Private,*,Some-college,10,Never-married,Adm-clerical, Own-child,White,Female,0,1719,28,North America, <=50K
127,"[30, 35[",Private,*,Assoc-acdm,12,Married-civ-spouse,Adm-clerical, Husband,White,Male,0,0,40,North America, >50K
128,"[35, 40[",?,*,HS-grad,9,Married-civ-spouse,?, Husband,White,Male,0,0,40,North America, <=50K
129,"[35, 40[",Private,*,Some-college,10,Divorced,Craft-repair, Not-in-family,White,Male,0,0,40,North America, <=50K
130,"[25, 30[",Private,*,Assoc-acdm,12,Never-married,Sales, Not-in-family,White,Female,0,0,60,North America, <=50K
131,"[20, 25[",Private,*,HS-grad,9,Never-married,Other-service, Not-in-family,White,Female,0,1762,40,North America, <=50K
132,"[35, 40[",Self-emp-not-inc,*,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,White,Male,4386,0,35,North America, <=50K
