index,age,workclass,education,marital_status,occupation,sex,income
0,"[35, 40[",State-gov,Bachelors,Never-married,Adm-clerical,Male,<=50K
1,"[50, 55[",Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,<=50K
2,"[35, 40[",Private,HS-grad,Divorced,Handlers-cleaners,Male,<=50K
3,"[50, 55[",Private,11th,Married-civ-spouse,Handlers-cleaners,Male,<=50K
4,"[25, 30[",Private,Bachelors,Married-civ-spouse,Prof-specialty,Female,<=50K
5,"[35, 40[",Private,Masters,Married-civ-spouse,Exec-managerial,Female,<=50K
6,*,*,*,*,*,*,<=50K
7,"[50, 55[",Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Male,>50K
8,"[30, 35[",Private,Masters,Never-married,Prof-specialty,Female,>50K
9,"[40, 45[",Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,>50K
10,"[35, 40[",Private,Some-college,Married-civ-spouse,Exec-managerial,Male,>50K
11,"[30, 35[",State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,>50K
12,"[20, 25[",Private,Bachelors,Never-married,Adm-clerical,Female,<=50K
13,"[30, 35[",Private,Assoc-acdm,Never-married,Sales,Male,<=50K
14,"[40, 45[",Private,Assoc-voc,Married-civ-spouse,Craft-repair,Male,>50K
15,"[30, 35[",Private,7th-8th,Married-civ-spouse,Transport-moving,Male,<=50K
16,"[25, 30[",Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Male,<=50K
17,"[30, 35[",Private,HS-grad,Never-married,Machine-op-inspct,Male,<=50K
18,"[35, 40[",Private,11th,Married-civ-spouse,Sales,Male,<=50K
19,"[40, 45[",Self-emp-not-inc,Masters,Divorced,Exec-managerial,Female,>50K
20,"[40, 45[",Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,>50K
21,"[50, 55[",Private,HS-grad,Separated,Other-service,Female,<=50K
22,*,*,*,*,*,*,<=50K
23,"[40, 45[",Private,11th,Married-civ-spouse,Transport-moving,Male,<=50K
24,"[55, 60[",Private,HS-grad,Divorced,Tech-support,Female,<=50K
25,*,*,*,*,*,*,>50K
26,"[15, 20[",Private,HS-grad,Never-married,Craft-repair,Male,<=50K
27,"[35, 40[",Private,HS-grad,Divorced,Exec-managerial,Male,<=50K
28,"[45, 50[",Private,HS-grad,Married-civ-spouse,Craft-repair,Male,<=50K
29,*,*,*,*,*,*,<=50K
30,"[20, 25[",Private,Some-college,Never-married,Sales,Male,<=50K
31,"[45, 50[",Private,Bachelors,Divorced,Exec-managerial,Male,<=50K
32,"[30, 35[",Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Male,<=50K
33,"[20, 25[",State-gov,Some-college,Married-civ-spouse,Other-service,Male,<=50K
34,*,*,*,*,*,*,<=50K
35,"[20, 25[",Private,Some-college,Never-married,Machine-op-inspct,Male,<=50K
36,*,*,*,*,*,*,<=50K
37,"[30, 35[",Private,Some-college,Married-civ-spouse,Sales,Male,>50K
38,*,*,*,*,*,*,<=50K
39,"[30, 35[",Private,9th,Married-civ-spouse,Machine-op-inspct,Male,<=50K
40,"[50, 55[",Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Male,<=50K
41,*,*,*,*,*,*,<=50K
42,"[45, 50[",Private,HS-grad,Separated,Adm-clerical,Female,<=50K
43,"[25, 30[",Private,HS-grad,Never-married,Handlers-cleaners,Male,<=50K
44,"[55, 60[",Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,>50K
45,"[50, 55[",Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,<=50K
46,"[40, 45[",Private,Masters,Divorced,Exec-managerial,Female,<=50K
47,"[40, 45[",State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Male,<=50K
48,"[25, 30[",Private,Assoc-voc,Never-married,Prof-specialty,Male,<=50K
49,"[25, 30[",Private,Some-college,Married-civ-spouse,Exec-managerial,Female,<=50K
50,"[15, 20[",Private,HS-grad,Never-married,Other-service,Female,<=50K
51,*,*,*,*,*,*,>50K
52,"[50, 55[",Federal-gov,Bachelors,Divorced,Exec-managerial,Male,>50K
53,"[45, 50[",Self-emp-inc,HS-grad,Divorced,Exec-managerial,Male,<=50K
54,"[40, 45[",Private,Some-college,Married-civ-spouse,Tech-support,Male,>50K
55,"[45, 50[",Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Male,<=50K
56,"[35, 40[",Private,Assoc-voc,Married-civ-spouse,Other-service,Male,<=50K
57,"[40, 45[",Private,HS-grad,Married-civ-spouse,Adm-clerical,Male,<=50K
58,"[30, 35[",Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,<=50K
59,"[30, 35[",Private,Bachelors,Married-civ-spouse,Sales,Male,<=50K
60,"[45, 50[",Private,HS-grad,Married-civ-spouse,Transport-moving,Male,<=50K
61,"[40, 45[",Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,>50K
62,"[25, 30[",Private,Some-college,Divorced,Tech-support,Male,<=50K
63,"[35, 40[",Private,HS-grad,Married-civ-spouse,Craft-repair,Male,<=50K
64,"[25, 30[",Private,Some-college,Divorced,Adm-clerical,Female,<=50K
65,"[50, 55[",Private,HS-grad,Married-civ-spouse,Adm-clerical,Female,>50K
66,"[45, 50[",Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Male,>50K
67,"[15, 20[",Private,Some-college,Never-married,Prof-specialty,Male,<=50K
68,"[30, 35[",Private,Bachelors,Separated,Sales,Female,<=50K
69,*,*,*,*,*,*,>50K
70,"[20, 25[",Private,Some-college,Never-married,Machine-op-inspct,Male,<=50K
71,*,*,*,*,*,*,<=50K
72,"[25, 30[",Private,HS-grad,Never-married,Other-service,Male,<=50K
73,"[40, 45[",Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Male,<=50K
74,"[15, 20[",Private,11th,Never-married,Other-service,Female,<=50K
75,*,*,*,*,*,*,<=50K
76,"[15, 20[",Private,HS-grad,Never-married,Sales,Male,<=50K
77,"[50, 55[",Private,Bachelors,Married-civ-spouse,Other-service,Male,<=50K
78,"[45, 50[",Private,HS-grad,Married-civ-spouse,Other-service,Female,<=50K
79,"[55, 60[",Private,HS-grad,Married-civ-spouse,Sales,Male,<=50K
80,"[40, 45[",Private,HS-grad,Divorced,Craft-repair,Female,>50K
81,"[50, 55[",Private,HS-grad,Divorced,Sales,Female,<=50K
82,"[45, 50[",Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Male,>50K
83,"[30, 35[",Private,Masters,Married-civ-spouse,Prof-specialty,Male,<=50K
84,"[30, 35[",Private,9th,Never-married,Sales,Male,<=50K
85,*,*,*,*,*,*,>50K
86,"[55, 60[",Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Male,<=50K
87,"[35, 40[",Private,Some-college,Divorced,Craft-repair,Female,<=50K
88,"[25, 30[",Private,Some-college,Divorced,Machine-op-inspct,Female,<=50K
89,"[30, 35[",Private,HS-grad,Married-civ-spouse,Sales,Female,<=50K
90,"[30, 35[",Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Male,>50K
91,*,*,*,*,*,*,<=50K
92,"[45, 50[",Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Male,>50K
93,"[35, 40[",Private,Some-college,Married-civ-spouse,Sales,Male,>50K
94,"[45, 50[",Private,Assoc-acdm,Divorced,Exec-managerial,Female,<=50K
95,*,*,*,*,*,*,<=50K
96,*,*,*,*,*,*,>50K
97,"[40, 45[",Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,>50K
98,"[45, 50[",Self-emp-not-inc,Masters,Never-married,Prof-specialty,Female,<=50K
99,"[20, 25[",Private,Some-college,Never-married,Tech-support,Female,<=50K
100,"[25, 30[",Private,HS-grad,Never-married,Craft-repair,Male,<=50K
101,"[30, 35[",Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,>50K
102,"[30, 35[",Private,11th,Never-married,Handlers-cleaners,Male,<=50K
103,"[30, 35[",Local-gov,HS-grad,Never-married,Adm-clerical,Female,<=50K
104,"[40, 45[",Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Male,<=50K
105,"[20, 25[",Private,Bachelors,Never-married,Sales,Male,<=50K
106,"[35, 40[",Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,>50K
107,"[55, 60[",Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Male,>50K
108,"[25, 30[",Private,Some-college,Married-civ-spouse,Sales,Female,<=50K
109,"[35, 40[",Private,HS-grad,Never-married,Machine-op-inspct,Female,<=50K
110,"[50, 55[",Private,9th,Married-civ-spouse,Handlers-cleaners,Male,<=50K
111,"[55, 60[",Self-emp-inc,Some-college,Married-civ-spouse,Sales,Male,<=50K
112,"[45, 50[",Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Male,>50K
113,"[55, 60[",Private,Some-college,Married-civ-spouse,Sales,Male,<=50K
114,"[20, 25[",Private,HS-grad,Never-married,Craft-repair,Male,<=50K
115,"[20, 25[",Private,Some-college,Never-married,Other-service,Female,<=50K
116,"[40, 45[",Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,<=50K
117,"[30, 35[",Private,Bachelors,Never-married,Exec-managerial,Male,<=50K
118,"[25, 30[",State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,>50K
119,"[15, 20[",Private,Some-college,Never-married,Other-service,Male,<=50K
120,"[45, 50[",Private,Bachelors,Married-civ-spouse,Exec-managerial,Female,>50K
121,"[20, 25[",Private,Some-college,Never-married,Adm-clerical,Female,<=50K
122,"[30, 35[",Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Male,>50K
123,"[35, 40[",Private,Some-college,Divorced,Craft-repair,Male,<=50K
124,"[25, 30[",Private,Assoc-acdm,Never-married,Sales,Female,<=50K
125,"[20, 25[",Private,HS-grad,Never-married,Other-service,Female,<=50K
126,"[35, 40[",Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,<=50K
127,"[35, 40[",Private,Bachelors,Married-civ-spouse,Sales,Male,<=50K
