-8019,[-8000,<-8000,<-8000,<-8000,"[-10000,0[",<0,*
-6847,"[-7000,-6500[","[-7000,-6000[","[-8000,-6000[","[-8000,-4000[","[-10000,0[",<0,*
-4057,"[-4500,-4000[","[-5000,-4000[","[-6000,-4000[","[-8000,-4000[","[-10000,0[",<0,*
-3372,"[-3500,-3000[","[-4000,-3000[","[-4000,-2000[","[-4000,0[","[-10000,0[",<0,*
-3313,"[-3500,-3000[","[-4000,-3000[","[-4000,-2000[","[-4000,0[","[-10000,0[",<0,*
-3058,"[-3500,-3000[","[-4000,-3000[","[-4000,-2000[","[-4000,0[","[-10000,0[",<0,*
-2827,"[-3000,-2500[","[-3000,-2000[","[-4000,-2000[","[-4000,0[","[-10000,0[",<0,*
-2712,"[-3000,-2500[","[-3000,-2000[","[-4000,-2000[","[-4000,0[","[-10000,0[",<0,*
-2604,"[-3000,-2500[","[-3000,-2000[","[-4000,-2000[","[-4000,0[","[-10000,0[",<0,*
-2282,"[-2500,-2000[","[-3000,-2000[","[-4000,-2000[","[-4000,0[","[-10000,0[",<0,*
-2122,"[-2500,-2000[","[-3000,-2000[","[-4000,-2000[","[-4000,0[","[-10000,0[",<0,*
-2093,"[-2500,-2000[","[-3000,-2000[","[-4000,-2000[","[-4000,0[","[-10000,0[",<0,*
-2082,"[-2500,-2000[","[-3000,-2000[","[-4000,-2000[","[-4000,0[","[-10000,0[",<0,*
-2049,"[-2500,-2000[","[-3000,-2000[","[-4000,-2000[","[-4000,0[","[-10000,0[",<0,*
-1980,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1968,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1965,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1944,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1941,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1884,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1882,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1854,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1818,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1781,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1779,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1746,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1737,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1730,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1725,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1701,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1680,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1668,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1664,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1661,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1655,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1636,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1629,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1621,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1613,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1601,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1598,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1586,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1547,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1545,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1531,"[-2000,-1500[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1500,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1493,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1490,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1489,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1485,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1480,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1459,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1455,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1451,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
