-1,-1,-1,-1,-1,-1,*
0,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
1,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
2,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
3,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
4,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
5,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
6,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
7,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
8,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
9,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
10,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
11,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
12,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
13,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
14,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
15,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
16,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
17,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
18,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
19,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
20,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
21,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
22,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
23,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
24,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
25,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
26,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
27,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
28,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
29,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
30,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
32,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
35,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
37,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
38,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
40,"[40,50[","[40,60[","[40,80[","[0,80[",>=0,*
41,"[40,50[","[40,60[","[40,80[","[0,80[",>=0,*
51,"[50,60[","[40,60[","[40,80[","[0,80[",>=0,*
55,"[50,60[","[40,60[","[40,80[","[0,80[",>=0,*
58,"[50,60[","[40,60[","[40,80[","[0,80[",>=0,*
275,>=200,>=200,>=200,>=200,>=0,*
