age,balance,education,job,marital,month,previous,y
58,2143,tertiary,management,married,may,0,no
44,29,secondary,technician,single,may,0,no
33,2,secondary,entrepreneur,married,may,0,no
47,1506,unknown,blue-collar,married,may,0,no
33,1,unknown,unknown,single,may,0,no
35,231,tertiary,management,married,may,0,no
28,447,tertiary,management,single,may,0,no
42,2,tertiary,entrepreneur,divorced,may,0,no
58,121,primary,retired,married,may,0,no
43,593,secondary,technician,single,may,0,no
41,270,secondary,admin.,divorced,may,0,no
29,390,secondary,admin.,single,may,0,no
53,6,secondary,technician,married,may,0,no
58,71,unknown,technician,married,may,0,no
57,162,secondary,services,married,may,0,no
51,229,primary,retired,married,may,0,no
45,13,unknown,admin.,single,may,0,no
57,52,primary,blue-collar,married,may,0,no
60,60,primary,retired,married,may,0,no
33,0,secondary,services,married,may,0,no
28,723,secondary,blue-collar,married,may,0,no
56,779,tertiary,management,married,may,0,no
32,23,primary,blue-collar,single,may,0,no
25,50,secondary,services,married,may,0,no
40,0,primary,retired,married,may,0,no
44,-372,secondary,admin.,married,may,0,no
39,255,tertiary,management,single,may,0,no
52,113,secondary,entrepreneur,married,may,0,no
46,-246,secondary,management,single,may,0,no
36,265,secondary,technician,single,may,0,no
57,839,secondary,technician,married,may,0,no
49,378,tertiary,management,married,may,0,no
60,39,secondary,admin.,married,may,0,no
59,0,secondary,blue-collar,married,may,0,no
51,10635,tertiary,management,married,may,0,no
57,63,secondary,technician,divorced,may,0,no
25,-7,secondary,blue-collar,married,may,0,no
53,-3,secondary,technician,married,may,0,no
36,506,secondary,admin.,divorced,may,0,no
37,0,secondary,admin.,single,may,0,no
44,2586,secondary,services,divorced,may,0,no
50,49,secondary,management,married,may,0,no
60,104,unknown,blue-collar,married,may,0,no
54,529,secondary,retired,married,may,0,no
58,96,unknown,retired,married,may,0,no
36,-171,primary,admin.,single,may,0,no
58,-364,tertiary,self-employed,married,may,0,no
44,0,secondary,technician,married,may,0,no
55,0,secondary,technician,divorced,may,0,no
29,0,tertiary,management,single,may,0,no
54,1291,secondary,blue-collar,married,may,0,no
48,-244,tertiary,management,divorced,may,0,no
32,0,tertiary,management,married,may,0,no
42,-76,secondary,admin.,single,may,0,no
24,-103,secondary,technician,single,may,0,no
38,243,tertiary,entrepreneur,single,may,0,no
38,424,tertiary,management,single,may,0,no
47,306,unknown,blue-collar,married,may,0,no
40,24,unknown,blue-collar,single,may,0,no
46,179,primary,services,married,may,0,no
32,0,tertiary,admin.,married,may,0,no
53,989,secondary,technician,divorced,may,0,no
57,249,primary,blue-collar,married,may,0,no
33,790,secondary,services,married,may,0,no
49,154,unknown,blue-collar,married,may,0,no
51,6530,tertiary,management,married,may,0,no
60,100,tertiary,retired,married,may,0,no
59,59,tertiary,management,divorced,may,0,no
55,1205,secondary,technician,married,may,0,no
35,12223,secondary,blue-collar,single,may,0,no
57,5935,secondary,blue-collar,married,may,0,no
31,25,secondary,services,married,may,0,no
54,282,secondary,management,married,may,0,no
55,23,primary,blue-collar,married,may,0,no
43,1937,secondary,technician,married,may,0,no
53,384,secondary,technician,married,may,0,no
44,582,secondary,blue-collar,married,may,0,no
55,91,secondary,services,divorced,may,0,no
49,0,secondary,services,divorced,may,0,no
55,1,secondary,services,divorced,may,0,no
45,206,secondary,admin.,single,may,0,no
47,164,secondary,services,divorced,may,0,no
42,690,secondary,technician,single,may,0,no
59,2343,secondary,admin.,married,may,0,yes
46,137,tertiary,self-employed,married,may,0,no
51,173,primary,blue-collar,married,may,0,no
56,45,secondary,admin.,married,may,0,yes
41,1270,secondary,technician,married,may,0,yes
46,16,secondary,management,divorced,may,0,no
57,486,secondary,retired,married,may,0,no
42,50,secondary,management,single,may,0,no
30,152,secondary,technician,married,may,0,no
60,290,secondary,admin.,married,may,0,no
60,54,unknown,blue-collar,married,may,0,no
57,-37,secondary,entrepreneur,divorced,may,0,no
36,101,tertiary,management,married,may,0,no
55,383,secondary,blue-collar,married,may,0,no
60,81,tertiary,retired,married,may,0,no
39,0,secondary,technician,married,may,0,no
46,229,tertiary,management,married,may,0,no
44,-674,secondary,blue-collar,married,may,0,no
53,90,primary,blue-collar,married,may,0,no
52,128,primary,blue-collar,married,may,0,no
59,179,primary,blue-collar,married,may,0,no
27,0,tertiary,technician,single,may,0,no
44,54,secondary,blue-collar,married,may,0,no
47,151,tertiary,technician,married,may,0,no
34,61,secondary,admin.,married,may,0,no
59,30,secondary,retired,single,may,0,no
45,523,tertiary,management,married,may,0,no
29,31,secondary,services,divorced,may,0,no
46,79,secondary,technician,divorced,may,0,no
56,-34,primary,self-employed,married,may,0,no
36,448,primary,blue-collar,married,may,0,no
59,81,primary,retired,divorced,may,0,no
44,144,secondary,blue-collar,married,may,0,no
41,351,secondary,admin.,married,may,0,no
33,-67,tertiary,management,single,may,0,no
59,262,tertiary,management,divorced,may,0,no
57,0,primary,technician,married,may,0,no
56,56,unknown,technician,divorced,may,0,no
51,26,secondary,blue-collar,married,may,0,no
34,3,unknown,admin.,married,may,0,no
43,41,secondary,services,married,may,0,no
52,7,tertiary,technician,married,may,0,no
33,105,secondary,technician,single,may,0,no
29,818,secondary,admin.,single,may,0,no
34,-16,secondary,services,married,may,0,no
31,0,secondary,blue-collar,married,may,0,no
55,2476,secondary,services,married,may,0,yes
55,1185,unknown,management,married,may,0,no
32,217,secondary,admin.,single,may,0,no
38,1685,secondary,technician,single,may,0,no
55,802,secondary,admin.,single,may,0,no
28,0,tertiary,unemployed,single,may,0,no
23,94,secondary,blue-collar,married,may,0,no
32,0,secondary,technician,single,may,0,no
43,0,unknown,services,single,may,0,no
32,517,secondary,blue-collar,married,may,0,no
46,265,secondary,blue-collar,married,may,0,no
53,947,primary,housemaid,divorced,may,0,no
34,3,secondary,self-employed,single,may,0,no
57,42,tertiary,unemployed,married,may,0,no
37,37,secondary,blue-collar,married,may,0,no
59,57,secondary,blue-collar,married,may,0,no
33,22,secondary,services,married,may,0,no
56,8,primary,blue-collar,divorced,may,0,no
48,293,secondary,unemployed,married,may,0,no
43,3,primary,services,married,may,0,no
54,348,primary,blue-collar,married,may,0,no
51,-19,unknown,blue-collar,married,may,0,no
26,0,secondary,student,single,may,0,no
40,-4,tertiary,management,married,may,0,no
39,18,secondary,management,married,may,0,no
50,139,primary,technician,married,may,0,no
41,0,secondary,services,married,may,0,no
51,1883,unknown,blue-collar,married,may,0,no
60,216,secondary,retired,divorced,may,0,no
52,782,secondary,blue-collar,married,may,0,no
48,904,secondary,blue-collar,married,may,0,no
48,1705,unknown,services,married,may,0,no
39,47,tertiary,technician,single,may,0,no
47,176,secondary,services,single,may,0,no
40,1225,secondary,blue-collar,married,may,0,no
45,86,secondary,technician,married,may,0,no
