index,age,balance,education,job,marital,month,previous,y
0,"[40,60[","[0,10000[",tertiary,white-collar,married,spring,"[0,20[",no
1,"[40,60[","[0,10000[",secondary,skilled-labor,single,spring,"[0,20[",no
2,"[20,40[","[0,10000[",secondary,self-directed,married,spring,"[0,20[",no
3,"[40,60[","[0,10000[",unknown,skilled-labor,married,spring,"[0,20[",no
5,"[20,40[","[0,10000[",tertiary,white-collar,married,spring,"[0,20[",no
6,"[20,40[","[0,10000[",tertiary,white-collar,single,spring,"[0,20[",no
8,"[40,60[","[0,10000[",primary,out-of-work,married,spring,"[0,20[",no
9,"[40,60[","[0,10000[",secondary,skilled-labor,single,spring,"[0,20[",no
10,"[40,60[","[0,10000[",secondary,white-collar,divorced,spring,"[0,20[",no
11,"[20,40[","[0,10000[",secondary,white-collar,single,spring,"[0,20[",no
12,"[40,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
13,"[40,60[","[0,10000[",unknown,skilled-labor,married,spring,"[0,20[",no
14,"[40,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
15,"[40,60[","[0,10000[",primary,out-of-work,married,spring,"[0,20[",no
17,"[40,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,20[",no
19,"[20,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
20,"[20,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
21,"[40,60[","[0,10000[",tertiary,white-collar,married,spring,"[0,20[",no
22,"[20,40[","[0,10000[",primary,skilled-labor,single,spring,"[0,20[",no
23,"[20,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
24,"[40,60[","[0,10000[",primary,out-of-work,married,spring,"[0,20[",no
26,"[20,40[","[0,10000[",tertiary,white-collar,single,spring,"[0,20[",no
27,"[40,60[","[0,10000[",secondary,self-directed,married,spring,"[0,20[",no
29,"[20,40[","[0,10000[",secondary,skilled-labor,single,spring,"[0,20[",no
30,"[40,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
31,"[40,60[","[0,10000[",tertiary,white-collar,married,spring,"[0,20[",no
33,"[40,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
34,"[40,60[","[0,10000[",tertiary,white-collar,married,spring,"[0,20[",no
35,"[40,60[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,20[",no
36,"[20,40[",<0,secondary,skilled-labor,married,spring,"[0,20[",no
37,"[40,60[",<0,secondary,skilled-labor,married,spring,"[0,20[",no
38,"[20,40[","[0,10000[",secondary,white-collar,divorced,spring,"[0,20[",no
39,"[20,40[","[0,10000[",secondary,white-collar,single,spring,"[0,20[",no
40,"[40,60[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,20[",no
41,"[40,60[","[0,10000[",secondary,white-collar,married,spring,"[0,20[",no
43,"[40,60[","[0,10000[",secondary,out-of-work,married,spring,"[0,20[",no
47,"[40,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
48,"[40,60[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,20[",no
49,"[20,40[","[0,10000[",tertiary,white-collar,single,spring,"[0,20[",no
50,"[40,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
52,"[20,40[","[0,10000[",tertiary,white-collar,married,spring,"[0,20[",no
54,"[20,40[",<0,secondary,skilled-labor,single,spring,"[0,20[",no
55,"[20,40[","[0,10000[",tertiary,self-directed,single,spring,"[0,20[",no
56,"[20,40[","[0,10000[",tertiary,white-collar,single,spring,"[0,20[",no
57,"[40,60[","[0,10000[",unknown,skilled-labor,married,spring,"[0,20[",no
59,"[40,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,20[",no
60,"[20,40[","[0,10000[",tertiary,white-collar,married,spring,"[0,20[",no
61,"[40,60[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,20[",no
62,"[40,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,20[",no
63,"[20,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
64,"[40,60[","[0,10000[",unknown,skilled-labor,married,spring,"[0,20[",no
65,"[40,60[","[0,10000[",tertiary,white-collar,married,spring,"[0,20[",no
67,"[40,60[","[0,10000[",tertiary,white-collar,divorced,spring,"[0,20[",no
68,"[40,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
70,"[40,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
71,"[20,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
72,"[40,60[","[0,10000[",secondary,white-collar,married,spring,"[0,20[",no
73,"[40,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,20[",no
74,"[40,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
75,"[40,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
76,"[40,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,20[",no
