index,age,balance,education,job,marital,month,previous,y
0,"[55,60[","[0,10000[",tertiary,management,married,may,"[0,10[",no
1,"[40,45[","[0,10000[",secondary,technician,single,may,"[0,10[",no
2,"[30,35[","[0,10000[",secondary,entrepreneur,married,may,"[0,10[",no
3,"[45,50[","[0,10000[",unknown,blue-collar,married,may,"[0,10[",no
4,*,*,*,*,*,*,*,no
5,"[35,40[","[0,10000[",tertiary,management,married,may,"[0,10[",no
6,"[25,30[","[0,10000[",tertiary,management,single,may,"[0,10[",no
7,*,*,*,*,*,*,*,no
8,"[55,60[","[0,10000[",primary,retired,married,may,"[0,10[",no
9,"[40,45[","[0,10000[",secondary,technician,single,may,"[0,10[",no
10,"[40,45[","[0,10000[",secondary,admin.,divorced,may,"[0,10[",no
11,"[25,30[","[0,10000[",secondary,admin.,single,may,"[0,10[",no
12,"[50,55[","[0,10000[",secondary,technician,married,may,"[0,10[",no
13,"[55,60[","[0,10000[",unknown,technician,married,may,"[0,10[",no
14,"[55,60[","[0,10000[",secondary,services,married,may,"[0,10[",no
15,"[50,55[","[0,10000[",primary,retired,married,may,"[0,10[",no
16,*,*,*,*,*,*,*,no
17,"[55,60[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
18,"[60,65[","[0,10000[",primary,retired,married,may,"[0,10[",no
19,"[30,35[","[0,10000[",secondary,services,married,may,"[0,10[",no
20,"[25,30[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
21,"[55,60[","[0,10000[",tertiary,management,married,may,"[0,10[",no
22,"[30,35[","[0,10000[",primary,blue-collar,single,may,"[0,10[",no
23,"[25,30[","[0,10000[",secondary,services,married,may,"[0,10[",no
24,"[40,45[","[0,10000[",primary,retired,married,may,"[0,10[",no
25,"[40,45[","[-10000,0[",secondary,admin.,married,may,"[0,10[",no
26,"[35,40[","[0,10000[",tertiary,management,single,may,"[0,10[",no
27,"[50,55[","[0,10000[",secondary,entrepreneur,married,may,"[0,10[",no
28,*,*,*,*,*,*,*,no
29,"[35,40[","[0,10000[",secondary,technician,single,may,"[0,10[",no
30,"[55,60[","[0,10000[",secondary,technician,married,may,"[0,10[",no
31,"[45,50[","[0,10000[",tertiary,management,married,may,"[0,10[",no
32,"[60,65[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
33,"[55,60[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
34,"[50,55[","[0,10000[",tertiary,management,married,may,"[0,10[",no
35,"[55,60[","[0,10000[",secondary,technician,divorced,may,"[0,10[",no
36,"[25,30[","[-10000,0[",secondary,blue-collar,married,may,"[0,10[",no
37,"[50,55[","[-10000,0[",secondary,technician,married,may,"[0,10[",no
38,"[35,40[","[0,10000[",secondary,admin.,divorced,may,"[0,10[",no
39,"[35,40[","[0,10000[",secondary,admin.,single,may,"[0,10[",no
40,"[40,45[","[0,10000[",secondary,services,divorced,may,"[0,10[",no
41,"[50,55[","[0,10000[",secondary,management,married,may,"[0,10[",no
42,"[60,65[","[0,10000[",unknown,blue-collar,married,may,"[0,10[",no
43,"[50,55[","[0,10000[",secondary,retired,married,may,"[0,10[",no
44,"[55,60[","[0,10000[",unknown,retired,married,may,"[0,10[",no
45,*,*,*,*,*,*,*,no
46,*,*,*,*,*,*,*,no
47,"[40,45[","[0,10000[",secondary,technician,married,may,"[0,10[",no
48,"[55,60[","[0,10000[",secondary,technician,divorced,may,"[0,10[",no
49,"[25,30[","[0,10000[",tertiary,management,single,may,"[0,10[",no
50,"[50,55[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
51,"[45,50[","[-10000,0[",tertiary,management,divorced,may,"[0,10[",no
52,"[30,35[","[0,10000[",tertiary,management,married,may,"[0,10[",no
53,"[40,45[","[-10000,0[",secondary,admin.,single,may,"[0,10[",no
54,"[20,25[","[-10000,0[",secondary,technician,single,may,"[0,10[",no
55,"[35,40[","[0,10000[",tertiary,entrepreneur,single,may,"[0,10[",no
56,"[35,40[","[0,10000[",tertiary,management,single,may,"[0,10[",no
57,"[45,50[","[0,10000[",unknown,blue-collar,married,may,"[0,10[",no
58,"[40,45[","[0,10000[",unknown,blue-collar,single,may,"[0,10[",no
59,"[45,50[","[0,10000[",primary,services,married,may,"[0,10[",no
60,"[30,35[","[0,10000[",tertiary,admin.,married,may,"[0,10[",no
61,"[50,55[","[0,10000[",secondary,technician,divorced,may,"[0,10[",no
62,"[55,60[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
63,"[30,35[","[0,10000[",secondary,services,married,may,"[0,10[",no
