index,age,workclass,education,marital_status,occupation,sex,income
0,*,*,*,*,*,*,<=50K
1,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
2,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
3,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
4,*,*,*,*,*,*,<=50K
5,*,*,*,*,*,*,<=50K
6,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
7,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
8,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,>50K
9,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
10,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
11,*,*,*,*,*,*,>50K
12,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
13,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
14,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
15,"[0, 40[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
16,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
17,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
18,"[0, 40[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
19,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,>50K
20,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
21,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
22,*,*,*,*,*,*,<=50K
23,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
24,"[40, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
25,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
26,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
27,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
28,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
29,*,*,*,*,*,*,<=50K
30,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
31,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
32,*,*,*,*,*,*,<=50K
33,*,*,*,*,*,*,<=50K
34,"[40, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
35,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
36,*,*,*,*,*,*,<=50K
37,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
38,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
39,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
40,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
41,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
42,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
43,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
44,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
45,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
46,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
47,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
48,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
49,*,*,*,*,*,*,<=50K
50,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
51,*,*,*,*,*,*,>50K
52,*,*,*,*,*,*,>50K
53,*,*,*,*,*,*,<=50K
54,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
55,*,*,*,*,*,*,<=50K
56,"[0, 40[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
57,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
58,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
59,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
60,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
61,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
62,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
63,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
64,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
65,*,*,*,*,*,*,>50K
66,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
67,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
68,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
69,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
70,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
71,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
72,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
73,"[40, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
74,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
75,*,*,*,*,*,*,<=50K
76,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
77,"[40, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
78,*,*,*,*,*,*,<=50K
79,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
80,"[40, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,>50K
81,"[40, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
82,*,*,*,*,*,*,>50K
83,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
84,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
85,"[40, 80[",Government,Higher education,Spouse not present,Technical,Female,>50K
86,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
87,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
88,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
89,*,*,*,*,*,*,<=50K
90,*,*,*,*,*,*,>50K
91,*,*,*,*,*,*,<=50K
92,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
93,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
94,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
95,*,*,*,*,*,*,<=50K
