age,balance,contact,duration,education,job,marital,month,previous,y
58,2143,unknown,261,tertiary,management,married,may,0,no
44,29,unknown,151,secondary,technician,single,may,0,no
33,2,unknown,76,secondary,entrepreneur,married,may,0,no
47,1506,unknown,92,unknown,blue-collar,married,may,0,no
33,1,unknown,198,unknown,unknown,single,may,0,no
35,231,unknown,139,tertiary,management,married,may,0,no
28,447,unknown,217,tertiary,management,single,may,0,no
42,2,unknown,380,tertiary,entrepreneur,divorced,may,0,no
58,121,unknown,50,primary,retired,married,may,0,no
43,593,unknown,55,secondary,technician,single,may,0,no
41,270,unknown,222,secondary,admin.,divorced,may,0,no
29,390,unknown,137,secondary,admin.,single,may,0,no
53,6,unknown,517,secondary,technician,married,may,0,no
58,71,unknown,71,unknown,technician,married,may,0,no
57,162,unknown,174,secondary,services,married,may,0,no
51,229,unknown,353,primary,retired,married,may,0,no
45,13,unknown,98,unknown,admin.,single,may,0,no
57,52,unknown,38,primary,blue-collar,married,may,0,no
60,60,unknown,219,primary,retired,married,may,0,no
33,0,unknown,54,secondary,services,married,may,0,no
28,723,unknown,262,secondary,blue-collar,married,may,0,no
56,779,unknown,164,tertiary,management,married,may,0,no
32,23,unknown,160,primary,blue-collar,single,may,0,no
25,50,unknown,342,secondary,services,married,may,0,no
40,0,unknown,181,primary,retired,married,may,0,no
44,-372,unknown,172,secondary,admin.,married,may,0,no
39,255,unknown,296,tertiary,management,single,may,0,no
52,113,unknown,127,secondary,entrepreneur,married,may,0,no
46,-246,unknown,255,secondary,management,single,may,0,no
36,265,unknown,348,secondary,technician,single,may,0,no
57,839,unknown,225,secondary,technician,married,may,0,no
49,378,unknown,230,tertiary,management,married,may,0,no
60,39,unknown,208,secondary,admin.,married,may,0,no
59,0,unknown,226,secondary,blue-collar,married,may,0,no
51,10635,unknown,336,tertiary,management,married,may,0,no
57,63,unknown,242,secondary,technician,divorced,may,0,no
25,-7,unknown,365,secondary,blue-collar,married,may,0,no
53,-3,unknown,1666,secondary,technician,married,may,0,no
36,506,unknown,577,secondary,admin.,divorced,may,0,no
37,0,unknown,137,secondary,admin.,single,may,0,no
44,2586,unknown,160,secondary,services,divorced,may,0,no
50,49,unknown,180,secondary,management,married,may,0,no
60,104,unknown,22,unknown,blue-collar,married,may,0,no
54,529,unknown,1492,secondary,retired,married,may,0,no
58,96,unknown,616,unknown,retired,married,may,0,no
36,-171,unknown,242,primary,admin.,single,may,0,no
58,-364,unknown,355,tertiary,self-employed,married,may,0,no
44,0,unknown,225,secondary,technician,married,may,0,no
55,0,unknown,160,secondary,technician,divorced,may,0,no
29,0,unknown,363,tertiary,management,single,may,0,no
54,1291,unknown,266,secondary,blue-collar,married,may,0,no
48,-244,unknown,253,tertiary,management,divorced,may,0,no
32,0,unknown,179,tertiary,management,married,may,0,no
42,-76,unknown,787,secondary,admin.,single,may,0,no
24,-103,unknown,145,secondary,technician,single,may,0,no
38,243,unknown,174,tertiary,entrepreneur,single,may,0,no
38,424,unknown,104,tertiary,management,single,may,0,no
47,306,unknown,13,unknown,blue-collar,married,may,0,no
40,24,unknown,185,unknown,blue-collar,single,may,0,no
46,179,unknown,1778,primary,services,married,may,0,no
32,0,unknown,138,tertiary,admin.,married,may,0,no
53,989,unknown,812,secondary,technician,divorced,may,0,no
57,249,unknown,164,primary,blue-collar,married,may,0,no
33,790,unknown,391,secondary,services,married,may,0,no
49,154,unknown,357,unknown,blue-collar,married,may,0,no
51,6530,unknown,91,tertiary,management,married,may,0,no
60,100,unknown,528,tertiary,retired,married,may,0,no
59,59,unknown,273,tertiary,management,divorced,may,0,no
55,1205,unknown,158,secondary,technician,married,may,0,no
35,12223,unknown,177,secondary,blue-collar,single,may,0,no
57,5935,unknown,258,secondary,blue-collar,married,may,0,no
31,25,unknown,172,secondary,services,married,may,0,no
54,282,unknown,154,secondary,management,married,may,0,no
55,23,unknown,291,primary,blue-collar,married,may,0,no
43,1937,unknown,181,secondary,technician,married,may,0,no
53,384,unknown,176,secondary,technician,married,may,0,no
44,582,unknown,211,secondary,blue-collar,married,may,0,no
55,91,unknown,349,secondary,services,divorced,may,0,no
49,0,unknown,272,secondary,services,divorced,may,0,no
55,1,unknown,208,secondary,services,divorced,may,0,no
45,206,unknown,193,secondary,admin.,single,may,0,no
47,164,unknown,212,secondary,services,divorced,may,0,no
42,690,unknown,20,secondary,technician,single,may,0,no
59,2343,unknown,1042,secondary,admin.,married,may,0,yes
46,137,unknown,246,tertiary,self-employed,married,may,0,no
51,173,unknown,529,primary,blue-collar,married,may,0,no
56,45,unknown,1467,secondary,admin.,married,may,0,yes
41,1270,unknown,1389,secondary,technician,married,may,0,yes
46,16,unknown,188,secondary,management,divorced,may,0,no
57,486,unknown,180,secondary,retired,married,may,0,no
42,50,unknown,48,secondary,management,single,may,0,no
30,152,unknown,213,secondary,technician,married,may,0,no
60,290,unknown,583,secondary,admin.,married,may,0,no
60,54,unknown,221,unknown,blue-collar,married,may,0,no
57,-37,unknown,173,secondary,entrepreneur,divorced,may,0,no
36,101,unknown,426,tertiary,management,married,may,0,no
55,383,unknown,287,secondary,blue-collar,married,may,0,no
60,81,unknown,101,tertiary,retired,married,may,0,no
39,0,unknown,203,secondary,technician,married,may,0,no
46,229,unknown,197,tertiary,management,married,may,0,no
44,-674,unknown,257,secondary,blue-collar,married,may,0,no
53,90,unknown,124,primary,blue-collar,married,may,0,no
52,128,unknown,229,primary,blue-collar,married,may,0,no
59,179,unknown,55,primary,blue-collar,married,may,0,no
27,0,unknown,400,tertiary,technician,single,may,0,no
44,54,unknown,197,secondary,blue-collar,married,may,0,no
47,151,unknown,190,tertiary,technician,married,may,0,no
34,61,unknown,21,secondary,admin.,married,may,0,no
59,30,unknown,514,secondary,retired,single,may,0,no
45,523,unknown,849,tertiary,management,married,may,0,no
29,31,unknown,194,secondary,services,divorced,may,0,no
46,79,unknown,144,secondary,technician,divorced,may,0,no
56,-34,unknown,212,primary,self-employed,married,may,0,no
36,448,unknown,286,primary,blue-collar,married,may,0,no
59,81,unknown,107,primary,retired,divorced,may,0,no
44,144,unknown,247,secondary,blue-collar,married,may,0,no
41,351,unknown,518,secondary,admin.,married,may,0,no
33,-67,unknown,364,tertiary,management,single,may,0,no
59,262,unknown,178,tertiary,management,divorced,may,0,no
57,0,unknown,98,primary,technician,married,may,0,no
56,56,unknown,439,unknown,technician,divorced,may,0,no
51,26,unknown,79,secondary,blue-collar,married,may,0,no
34,3,unknown,120,unknown,admin.,married,may,0,no
43,41,unknown,127,secondary,services,married,may,0,no
52,7,unknown,175,tertiary,technician,married,may,0,no
33,105,unknown,262,secondary,technician,single,may,0,no
29,818,unknown,61,secondary,admin.,single,may,0,no
34,-16,unknown,78,secondary,services,married,may,0,no
31,0,unknown,143,secondary,blue-collar,married,may,0,no
55,2476,unknown,579,secondary,services,married,may,0,yes
55,1185,unknown,677,unknown,management,married,may,0,no
32,217,unknown,345,secondary,admin.,single,may,0,no
38,1685,unknown,185,secondary,technician,single,may,0,no
55,802,unknown,100,secondary,admin.,single,may,0,no
28,0,unknown,125,tertiary,unemployed,single,may,0,no
23,94,unknown,193,secondary,blue-collar,married,may,0,no
32,0,unknown,136,secondary,technician,single,may,0,no
43,0,unknown,73,unknown,services,single,may,0,no
32,517,unknown,528,secondary,blue-collar,married,may,0,no
46,265,unknown,541,secondary,blue-collar,married,may,0,no
53,947,unknown,163,primary,housemaid,divorced,may,0,no
34,3,unknown,301,secondary,self-employed,single,may,0,no
57,42,unknown,46,tertiary,unemployed,married,may,0,no
37,37,unknown,204,secondary,blue-collar,married,may,0,no
59,57,unknown,98,secondary,blue-collar,married,may,0,no
33,22,unknown,71,secondary,services,married,may,0,no
56,8,unknown,157,primary,blue-collar,divorced,may,0,no
48,293,unknown,243,secondary,unemployed,married,may,0,no
43,3,unknown,186,primary,services,married,may,0,no
54,348,unknown,579,primary,blue-collar,married,may,0,no
51,-19,unknown,163,unknown,blue-collar,married,may,0,no
26,0,unknown,610,secondary,student,single,may,0,no
40,-4,unknown,2033,tertiary,management,married,may,0,no
39,18,unknown,85,secondary,management,married,may,0,no
50,139,unknown,114,primary,technician,married,may,0,no
41,0,unknown,114,secondary,services,married,may,0,no
51,1883,unknown,57,unknown,blue-collar,married,may,0,no
60,216,unknown,238,secondary,retired,divorced,may,0,no
52,782,unknown,93,secondary,blue-collar,married,may,0,no
48,904,unknown,128,secondary,blue-collar,married,may,0,no
48,1705,unknown,107,unknown,services,married,may,0,no
39,47,unknown,181,tertiary,technician,single,may,0,no
47,176,unknown,303,secondary,services,single,may,0,no
40,1225,unknown,558,secondary,blue-collar,married,may,0,no
45,86,unknown,270,secondary,technician,married,may,0,no
26,82,unknown,228,secondary,admin.,single,may,0,no
52,271,unknown,99,tertiary,management,married,may,0,no
54,1378,unknown,240,secondary,technician,married,may,0,no
54,184,unknown,673,tertiary,admin.,married,may,0,yes
50,0,unknown,233,primary,blue-collar,married,may,0,no
35,0,unknown,1056,secondary,blue-collar,married,may,0,no
44,1357,unknown,250,secondary,services,married,may,0,no
53,19,unknown,252,unknown,entrepreneur,married,may,0,no
35,434,unknown,138,primary,retired,single,may,0,no
60,92,unknown,130,secondary,admin.,divorced,may,0,no
53,1151,unknown,412,secondary,admin.,divorced,may,0,no
48,41,unknown,179,secondary,unemployed,married,may,0,no
34,51,unknown,19,secondary,technician,married,may,0,no
54,214,unknown,458,secondary,services,married,may,0,no
51,1161,unknown,717,secondary,management,married,may,0,no
31,37,unknown,313,tertiary,services,married,may,0,no
35,787,unknown,683,secondary,technician,divorced,may,0,no
