-1,-1,-1,-1,-1,-1,*
0,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
1,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
2,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
3,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
4,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
5,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
6,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
7,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
8,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
9,"[0,10[","[0,20[","[0,40[","[0,80[",>=0,*
10,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
11,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
12,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
13,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
14,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
15,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
16,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
17,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
18,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
19,"[10,20[","[0,20[","[0,40[","[0,80[",>=0,*
20,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
21,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
22,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
23,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
24,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
25,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
26,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
27,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
28,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
29,"[20,30[","[20,40[","[0,40[","[0,80[",>=0,*
30,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
31,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
32,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
33,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
34,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
35,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
36,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
37,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
38,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
39,"[30,40[","[20,40[","[0,40[","[0,80[",>=0,*
40,"[40,50[","[40,60[","[40,80[","[0,80[",>=0,*
41,"[40,50[","[40,60[","[40,80[","[0,80[",>=0,*
42,"[40,50[","[40,60[","[40,80[","[0,80[",>=0,*
43,"[40,50[","[40,60[","[40,80[","[0,80[",>=0,*
44,"[40,50[","[40,60[","[40,80[","[0,80[",>=0,*
45,"[40,50[","[40,60[","[40,80[","[0,80[",>=0,*
46,"[40,50[","[40,60[","[40,80[","[0,80[",>=0,*
47,"[40,50[","[40,60[","[40,80[","[0,80[",>=0,*
48,"[40,50[","[40,60[","[40,80[","[0,80[",>=0,*
49,"[40,50[","[40,60[","[40,80[","[0,80[",>=0,*
50,"[50,60[","[40,60[","[40,80[","[0,80[",>=0,*
51,"[50,60[","[40,60[","[40,80[","[0,80[",>=0,*
52,"[50,60[","[40,60[","[40,80[","[0,80[",>=0,*
53,"[50,60[","[40,60[","[40,80[","[0,80[",>=0,*
54,"[50,60[","[40,60[","[40,80[","[0,80[",>=0,*
55,"[50,60[","[40,60[","[40,80[","[0,80[",>=0,*
56,"[50,60[","[40,60[","[40,80[","[0,80[",>=0,*
57,"[50,60[","[40,60[","[40,80[","[0,80[",>=0,*
58,"[50,60[","[40,60[","[40,80[","[0,80[",>=0,*
59,"[50,60[","[40,60[","[40,80[","[0,80[",>=0,*
60,"[60,70[","[60,80[","[40,80[","[0,80[",>=0,*
61,"[60,70[","[60,80[","[40,80[","[0,80[",>=0,*
62,"[60,70[","[60,80[","[40,80[","[0,80[",>=0,*
63,"[60,70[","[60,80[","[40,80[","[0,80[",>=0,*
64,"[60,70[","[60,80[","[40,80[","[0,80[",>=0,*
65,"[60,70[","[60,80[","[40,80[","[0,80[",>=0,*
66,"[60,70[","[60,80[","[40,80[","[0,80[",>=0,*
67,"[60,70[","[60,80[","[40,80[","[0,80[",>=0,*
68,"[60,70[","[60,80[","[40,80[","[0,80[",>=0,*
69,"[60,70[","[60,80[","[40,80[","[0,80[",>=0,*
70,"[70,80[","[60,80[","[40,80[","[0,80[",>=0,*
71,"[70,80[","[60,80[","[40,80[","[0,80[",>=0,*
72,"[70,80[","[60,80[","[40,80[","[0,80[",>=0,*
73,"[70,80[","[60,80[","[40,80[","[0,80[",>=0,*
74,"[70,80[","[60,80[","[40,80[","[0,80[",>=0,*
75,"[70,80[","[60,80[","[40,80[","[0,80[",>=0,*
76,"[70,80[","[60,80[","[40,80[","[0,80[",>=0,*
77,"[70,80[","[60,80[","[40,80[","[0,80[",>=0,*
78,"[70,80[","[60,80[","[40,80[","[0,80[",>=0,*
79,"[70,80[","[60,80[","[40,80[","[0,80[",>=0,*
80,"[80,90[","[80,100[","[80,120[","[80,160[",>=0,*
81,"[80,90[","[80,100[","[80,120[","[80,160[",>=0,*
82,"[80,90[","[80,100[","[80,120[","[80,160[",>=0,*
83,"[80,90[","[80,100[","[80,120[","[80,160[",>=0,*
