k,model,train_accuracy,test_accuracy,precision,recall,f1_score,roc_auc_score
2,Decision Tree,0.8767,0.7983,0.6079,0.499,0.5481,0.7737
4,Decision Tree,0.854,0.8036,0.6234,0.5061,0.5587,0.8114
8,Decision Tree,0.8402,0.8177,0.6713,0.5414,0.5994,0.8483
16,Decision Tree,0.8312,0.81,0.6567,0.5083,0.573,0.8461
32,Decision Tree,0.8251,0.8167,0.6695,0.5197,0.5851,0.8651
64,Decision Tree,0.8155,0.8192,0.6829,0.4719,0.5581,0.8527
128,Decision Tree,0.8093,0.8162,0.6584,0.4931,0.5639,0.8527
2,Logistic Regression,0.794,0.8094,0.6893,0.405,0.5102,0.8169
4,Logistic Regression,0.7954,0.792,0.6238,0.386,0.4769,0.8062
8,Logistic Regression,0.7952,0.7941,0.6548,0.3868,0.4864,0.8171
16,Logistic Regression,0.7894,0.7862,0.6168,0.3893,0.4773,0.815
32,Logistic Regression,0.79,0.7898,0.6265,0.3844,0.4765,0.8295
64,Logistic Regression,0.791,0.7958,0.6319,0.374,0.4699,0.8118
128,Logistic Regression,0.7898,0.797,0.6433,0.3535,0.4563,0.8056
2,Random Forest,0.8767,0.7993,0.598,0.5531,0.5746,0.8349
4,Random Forest,0.854,0.8047,0.6128,0.5574,0.5837,0.829
8,Random Forest,0.8402,0.8177,0.6636,0.5605,0.6077,0.8502
16,Random Forest,0.8312,0.8094,0.6474,0.5268,0.5809,0.8464
32,Random Forest,0.825,0.8167,0.6658,0.5283,0.5892,0.8648
64,Random Forest,0.8155,0.8182,0.6774,0.4747,0.5582,0.8529
128,Random Forest,0.8093,0.8162,0.6584,0.4931,0.5639,0.8527
2,XGBoost,0.8559,0.8265,0.6664,0.5849,0.623,0.8703
4,XGBoost,0.8481,0.8173,0.6457,0.5682,0.6045,0.859
8,XGBoost,0.8381,0.8216,0.6756,0.5618,0.6135,0.8679
16,XGBoost,0.8309,0.8122,0.6581,0.5228,0.5827,0.854
32,XGBoost,0.8251,0.8172,0.6656,0.533,0.5919,0.8673
64,XGBoost,0.8155,0.8187,0.676,0.4815,0.5624,0.8533
128,XGBoost,0.8093,0.8162,0.6584,0.4931,0.5639,0.8528
