k,model,accuracy,f1_0,f1_1,macro_avg_f1,macro_avg_precision,macro_avg_recall,precision_0,precision_1,recall_0,recall_1,weighted_avg_f1,weighted_avg_precision,weighted_avg_recall
1,logistic,0.82861328125,0.8896804609743321,0.6161137440758294,0.7528971025250808,0.778851447585919,0.7362651605939299,0.8610829446359765,0.6966199505358615,0.9202427394885132,0.5522875816993464,0.8215559367466776,0.8201278045036235,0.82861328125
2,logistic,0.826171875,0.8892345986309894,0.5963718820861678,0.7428032403585786,0.7798072728205918,0.7224075065656952,0.8526252983293556,0.706989247311828,0.9291287386215865,0.515686274509804,0.8163049182414097,0.8163585082810455,0.826171875
4,logistic,0.8214518229166666,0.8856696195935383,0.5926476049015967,0.7391586122475675,0.7695990248757834,0.7212307809990056,0.8530415579200964,0.6861564918314703,0.9208929345470308,0.5215686274509804,0.8127002702317756,0.811483265095292,0.8214518229166666
8,logistic,0.8134765625,0.8797733948804028,0.5841799709724238,0.7319766829264134,0.7545946010493795,0.7174498754855214,0.8525823505490037,0.6566068515497553,0.9087559601213697,0.5261437908496732,0.8061637043564431,0.803779858122433,0.8134765625
16,logistic,0.8074544270833334,0.8774220288053052,0.5513841486537733,0.7144030887295392,0.7486548053886335,0.6964026789736267,0.8405797101449275,0.6567299006323396,0.917641959254443,0.47516339869281043,0.7962309551347576,0.7947967985963826,0.8074544270833334
32,logistic,0.8072916666666666,0.8763575605680869,0.5634218289085545,0.7198896947383207,0.745994430770301,0.7043762802043227,0.845626763401854,0.6463620981387479,0.9094061551798873,0.4993464052287582,0.7984292289536525,0.7960051914857486,0.8072916666666666
64,logistic,0.8014322916666666,0.8740710156895128,0.5307692307692308,0.7024201232293719,0.7396549755211652,0.6843111757056529,0.8344501379582183,0.6448598130841121,0.917641959254443,0.45098039215686275,0.7885808251087786,0.7872377035413267,0.8014322916666666
128,logistic,0.80126953125,0.8754716981132076,0.5082561417639951,0.6918639199386014,0.7444676323518205,0.6713153488530219,0.8268156424581006,0.6621196222455404,0.9302123970524491,0.41241830065359475,0.7840264179676518,0.7858024733621994,0.80126953125
256,logistic,0.802734375,0.8769543147208122,0.5028712059064807,0.6899127603136465,0.749988221159509,0.6683588736751744,0.8248663101604278,0.6751101321585903,0.936064152579107,0.40065359477124185,0.7837988530531809,0.7875735119275484,0.802734375
512,logistic,0.8014322916666666,0.8724649801379887,0.5518001469507715,0.71213256354438,0.7363616896705012,0.6976354998002668,0.8426898222940227,0.6300335570469798,0.9044213263979194,0.49084967320261436,0.7926119210923437,0.7897334281162923,0.8014322916666666
1024,logistic,0.8038736979166666,0.8733844698959756,0.5651389390111873,0.7192617044535814,0.7392935437413295,0.7062507968076697,0.8476442994085254,0.6309427880741337,0.9007368877329865,0.5117647058823529,0.7966241082010331,0.79368054414459,0.8038736979166666
1,tree,0.8211263020833334,0.8844009677080046,0.6048184106436534,0.7446096891758289,0.7657243916699872,0.7304066056418232,0.8591865930921725,0.6722621902478018,0.9111400086692675,0.5496732026143791,0.8147783582827999,0.8126380357432326,0.8211263020833334
2,tree,0.8229166666666666,0.8876033057851239,0.5828220858895705,0.7352126958373473,0.776507796529228,0.713905674970465,0.848006316620608,0.7050092764378478,0.9310793237971391,0.49673202614379086,0.8117056387212899,0.8123967021219715,0.8229166666666666
4,tree,0.8245442708333334,0.8883595691797845,0.5904255319148937,0.7393925505473391,0.777868085936572,0.7187026696244168,0.8506545021816739,0.70508166969147,0.9295622019939315,0.5078431372549019,0.8141670110718283,0.8144034550283518,0.8245442708333334
8,tree,0.8147786458333334,0.8806627516778524,0.5864825581395349,0.7335726549086936,0.7567506455867008,0.7187536653152808,0.8531084924827306,0.660392798690671,0.9100563502384048,0.5274509803921569,0.8074049886385253,0.8051177679544345,0.8147786458333334
16,tree,0.8072916666666666,0.8772802653399668,0.5515151515151515,0.7143977084275592,0.7482696045270538,0.6965127446730751,0.8406833531982519,0.6558558558558558,0.917208495882098,0.47581699346405226,0.7961571168777325,0.7946569744655263,0.8072916666666666
32,tree,0.8089192708333334,0.8777083333333333,0.5632440476190477,0.7204761904761905,0.7493396016618552,0.7039309178374428,0.8449659045326915,0.653713298791019,0.9130905938448202,0.4947712418300654,0.7993993559337796,0.7973395232200678,0.8089192708333334
64,tree,0.80419921875,0.8761453721816123,0.5328155339805826,0.7044804530810974,0.7454683393216233,0.6852796688679806,0.8344773484997058,0.6564593301435406,0.9221933246640659,0.44836601307189544,0.7906481956764729,0.7901466896317154,0.80419921875
128,tree,0.80126953125,0.8754716981132076,0.5082561417639951,0.6918639199386014,0.7444676323518205,0.6713153488530219,0.8268156424581006,0.6621196222455404,0.9302123970524491,0.41241830065359475,0.7840264179676518,0.7858024733621994,0.80126953125
256,tree,0.802734375,0.8769543147208122,0.5028712059064807,0.6899127603136465,0.749988221159509,0.6683588736751744,0.8248663101604278,0.6751101321585903,0.936064152579107,0.40065359477124185,0.7837988530531809,0.7875735119275484,0.802734375
512,tree,0.8014322916666666,0.8724649801379887,0.5518001469507715,0.71213256354438,0.7363616896705012,0.6976354998002668,0.8426898222940227,0.6300335570469798,0.9044213263979194,0.49084967320261436,0.7926119210923437,0.7897334281162923,0.8014322916666666
1024,tree,0.8038736979166666,0.8733844698959756,0.5651389390111873,0.7192617044535814,0.7392935437413295,0.7062507968076697,0.8476442994085254,0.6309427880741337,0.9007368877329865,0.5117647058823529,0.7966241082010331,0.79368054414459,0.8038736979166666
1,forest,0.8282877604166666,0.8915167095115681,0.5883730003901678,0.739944854950868,0.7890417437628121,0.7161711585371036,0.8481706124046174,0.7299128751210068,0.9395318595578673,0.4928104575163399,0.816026821009657,0.8187216641552807,0.8282877604166666
2,forest,0.8277994791666666,0.8920408163265307,0.5747588424437299,0.7333998293851303,0.7945963397520384,0.7073272308489933,0.8428461241804859,0.7463465553235908,0.947334200260078,0.4673202614379085,0.8130301685334503,0.8188154698264739,0.8277994791666666
4,forest,0.82568359375,0.8895078922934077,0.5872832369942197,0.7383955646438136,0.7821410447326607,0.7161847573880007,0.8487891317188423,0.7154929577464789,0.9343302990897269,0.4980392156862745,0.8142468697335513,0.8155952602706463,0.82568359375
8,forest,0.814453125,0.8800505050505051,0.5905172413793104,0.7352838732149077,0.755358558135439,0.7218134067671282,0.8552147239263803,0.6555023923444976,0.9063719115734721,0.5372549019607843,0.8079499364605103,0.8054816726047201,0.814453125
16,forest,0.8087565104166666,0.8779981310351989,0.5577719232216786,0.7178850271284387,0.7501162418672698,0.700327647313802,0.8427347020131553,0.6574977817213842,0.9163415691374079,0.4843137254901961,0.7982542999878867,0.796606367370185,0.8087565104166666
32,forest,0.8089192708333334,0.8777083333333333,0.5632440476190477,0.7204761904761905,0.7493396016618552,0.7039309178374428,0.8449659045326915,0.653713298791019,0.9130905938448202,0.4947712418300654,0.7993993559337796,0.7973395232200678,0.8089192708333334
64,forest,0.80419921875,0.8761453721816123,0.5328155339805826,0.7044804530810974,0.7454683393216233,0.6852796688679806,0.8344773484997058,0.6564593301435406,0.9221933246640659,0.44836601307189544,0.7906481956764729,0.7901466896317154,0.80419921875
128,forest,0.80126953125,0.8754716981132076,0.5082561417639951,0.6918639199386014,0.7444676323518205,0.6713153488530219,0.8268156424581006,0.6621196222455404,0.9302123970524491,0.41241830065359475,0.7840264179676518,0.7858024733621994,0.80126953125
256,forest,0.802734375,0.8769543147208122,0.5028712059064807,0.6899127603136465,0.749988221159509,0.6683588736751744,0.8248663101604278,0.6751101321585903,0.936064152579107,0.40065359477124185,0.7837988530531809,0.7875735119275484,0.802734375
512,forest,0.8014322916666666,0.8724649801379887,0.5518001469507715,0.71213256354438,0.7363616896705012,0.6976354998002668,0.8426898222940227,0.6300335570469798,0.9044213263979194,0.49084967320261436,0.7926119210923437,0.7897334281162923,0.8014322916666666
1024,forest,0.8038736979166666,0.8733844698959756,0.5651389390111873,0.7192617044535814,0.7392935437413295,0.7062507968076697,0.8476442994085254,0.6309427880741337,0.9007368877329865,0.5117647058823529,0.7966241082010331,0.79368054414459,0.8038736979166666
1,mlp,0.8318684895833334,0.8902581536173377,0.640695652173913,0.7654769028956254,0.7789284632563631,0.7550332746882888,0.8730985622004585,0.6847583643122677,0.9081057650628522,0.6019607843137255,0.8281112416367974,0.826197438702911,0.8318684895833334
2,mlp,0.8287760416666666,0.8899811754863,0.6140865737344093,0.7520338746103546,0.779888093699559,0.7346260740967389,0.8599434114793856,0.6998327759197325,0.9221933246640659,0.5470588235294118,0.8212769533703507,0.8200721106320111,0.8287760416666666
4,mlp,0.8271484375,0.8894210745522699,0.6043219076005961,0.746871491076433,0.7793423936260736,0.7278631955599753,0.8559118236472946,0.7027729636048526,0.9256610316428262,0.5300653594771242,0.8184246999695777,0.8177766583046943,0.8271484375
8,mlp,0.8050130208333334,0.8808671439936356,0.4632616487455197,0.6720643963695777,0.775161218380623,0.6489065673950551,0.8138552002940096,0.7364672364672364,0.9599046380580841,0.33790849673202616,0.7768735880480598,0.7945837835207409,0.8050130208333334
16,mlp,0.8103841145833334,0.879362120741431,0.557202584568605,0.718282352655018,0.7538587763760272,0.6996638534043873,0.84195915129883,0.6657584014532243,0.9202427394885132,0.47908496732026146,0.7991368456202683,0.7980810348821997,0.8103841145833334
32,mlp,0.8089192708333334,0.8766806722689076,0.5758670520231214,0.7262738621460145,0.7471857018572754,0.712668179538829,0.8505911129229515,0.6437802907915994,0.9044213263979194,0.5209150326797386,0.8017710305084823,0.7990903710836011,0.8089192708333334
64,mlp,0.8020833333333334,0.874457980590543,0.5326671790930054,0.7035625798417742,0.7407157822873016,0.6853999337056019,0.8349763406940063,0.6464552238805971,0.9178586909406156,0.45294117647058824,0.789344060295746,0.788030164143792,0.8020833333333334
128,mlp,0.8004557291666666,0.8742821985233798,0.5165615141955836,0.6954218563594817,0.7403968559216906,0.6760158766584223,0.829700272479564,0.6510934393638171,0.923927178153446,0.42810457516339867,0.7852013640472196,0.7852229849360919,0.8004557291666666
256,mlp,0.8038736979166666,0.8745445080687142,0.5508758852031308,0.7127101966359225,0.7412257067057216,0.6966398089361449,0.8415147265077139,0.6409366869037294,0.9102730819245773,0.4830065359477124,0.7939434349918355,0.7915660935985186,0.8038736979166666
512,mlp,0.8014322916666666,0.8724649801379887,0.5518001469507715,0.71213256354438,0.7363616896705012,0.6976354998002668,0.8426898222940227,0.6300335570469798,0.9044213263979194,0.49084967320261436,0.7926119210923437,0.7897334281162923,0.8014322916666666
1024,mlp,0.8038736979166666,0.8733844698959756,0.5651389390111873,0.7192617044535814,0.7392935437413295,0.7062507968076697,0.8476442994085254,0.6309427880741337,0.9007368877329865,0.5117647058823529,0.7966241082010331,0.79368054414459,0.8038736979166666
1,svm,0.83251953125,0.8925550798788765,0.6204352637403172,0.7564951718095969,0.7866405302711701,0.7379922146578615,0.8611726778158372,0.712108382726503,0.9263112267013437,0.5496732026143791,0.8247908678521846,0.8240521746441768,0.83251953125
2,svm,0.830078125,0.8913857677902621,0.6098654708520179,0.75062561932114,0.7845923709798055,0.7309059384482011,0.8571428571428571,0.7120418848167539,0.9284785435630689,0.5333333333333333,0.8212806157206799,0.8210093142296184,0.830078125
4,svm,0.8225911458333334,0.8856723306062513,0.6042120551924474,0.7449421928993494,0.7689343216961582,0.7294160143467876,0.858130081300813,0.6797385620915033,0.9150411790203727,0.5437908496732026,0.8155821253030092,0.8137064119664634,0.8225911458333334
8,svm,0.8111979166666666,0.876385336743393,0.6005509641873278,0.7384681504653604,0.7483489421694909,0.7305676670321357,0.8620545073375262,0.6346433770014556,0.8912006935413957,0.5699346405228758,0.8076961131088259,0.8054238059354774,0.8111979166666666
16,svm,0.7980143229166666,0.8659971925278048,0.590023125206475,0.7280101588671399,0.7297243507889462,0.7263770961353766,0.8629223154723478,0.5965263861055444,0.8690940615517989,0.5836601307189543,0.7972731816225909,0.7965834854054193,0.7980143229166666
32,svm,0.8015950520833334,0.8676007385684805,0.6043492372606296,0.7359749879145551,0.734921023961701,0.7370615432995912,0.8695841497931636,0.6002578981302386,0.8656263545730386,0.6084967320261437,0.8020449447857637,0.8025156007950719,0.8015950520833334
64,svm,0.7972005208333334,0.8666809330194736,0.5764785859959212,0.7215797595076974,0.7282207332871966,0.7160058475058857,0.8558748943364328,0.6005665722379604,0.8777633289986996,0.5542483660130719,0.7944137469931007,0.7922971383451141,0.7972005208333334
128,svm,0.7970377604166666,0.875037578915723,0.4599393676916414,0.6674884733036822,0.7477181178345358,0.6466546826793136,0.8137931034482758,0.6816431322207959,0.9462505418292154,0.34705882352941175,0.7716683954566012,0.7808846633476826,0.7970377604166666
256,svm,0.7981770833333334,0.8687830687830688,0.5630725863284003,0.7159278275557346,0.7298491436550034,0.7059528969802051,0.8488420181968569,0.6108562691131498,0.8896835717381881,0.5222222222222223,0.7926539935624238,0.7895779888840196,0.7981770833333334
512,svm,0.7957356770833334,0.8666454149399638,0.5637817170663886,0.7152135660031762,0.7260966741927142,0.7069485878443271,0.8501146549927038,0.6020786933927246,0.8838318162115302,0.5300653594771242,0.7912252558015247,0.788347887211459,0.7957356770833334
1024,svm,0.7967122395833334,0.8654239844844306,0.5846358496840705,0.7250299170842505,0.7278176087335284,0.7224521277952013,0.8605099635740304,0.5951252538930264,0.870394451668834,0.5745098039215686,0.7955011579472315,0.7944229509093272,0.7967122395833334
