k,accuracy,f1_0,f1_1,macro_avg_f1,macro_avg_precision,macro_avg_recall,model,precision_0,precision_1,recall_0,recall_1,weighted_avg_f1,weighted_avg_precision,weighted_avg_recall
1,0.7213314165652991,0.8239977650509848,0.33121019108280253,0.5776039780668937,0.5808641899777596,0.6642761179101173,logistic,0.9314700773724933,0.23025830258302582,0.7387601753287414,0.5897920604914934,0.7663433082049893,0.8494307035223047,0.7213314165652991
2,0.671900917837001,0.785667846565051,0.3007306151308037,0.5431992308479273,0.564308573443822,0.642025750077236,logistic,0.9283031751451007,0.20031397174254317,0.6810269254852849,0.6030245746691871,0.7289318528840343,0.8431309339419706,0.671900917837001
4,0.6564193298684065,0.7727970749542962,0.29562457492632055,0.5342108249403084,0.5615497387906956,0.6389989263896271,logistic,0.9286467486818981,0.194452728899493,0.6617407639323732,0.6162570888468809,0.7169695282298023,0.8427485652328452,0.6564193298684065
8,0.6390578347893399,0.7577556776013062,0.29228100607111884,0.5250183418362125,0.559843685939434,0.6381873858475189,logistic,0.9300419019857897,0.18964546989307823,0.6393237319974953,0.6370510396975425,0.7032967367101265,0.8434180575587092,0.6390578347893399
16,0.5688377750746434,0.6965994864212902,0.25520534861509075,0.4759024175181905,0.5398877122590476,0.5959654976900214,logistic,0.9198520345252774,0.1599233899928178,0.5605510331872261,0.6313799621928167,0.6449578854261603,0.830942988200458,0.5688377750746434
32,0.571823509897158,0.69984496124031,0.2533744697261859,0.47660971548324793,0.5387849990536799,0.5931464714676502,logistic,0.9184130213631739,0.15915697674418605,0.5653099561678147,0.6209829867674859,0.6476094442634281,0.8295826669225139,0.571823509897158
64,0.559217073979874,0.688301532686894,0.24764061910154775,0.4679710758942209,0.5355096460938329,0.5855981146123461,logistic,0.9163023110555902,0.15471698113207547,0.5511584220413275,0.6200378071833649,0.636745716412063,0.827199438219244,0.559217073979874
128,0.5453942275793432,0.6741697709439645,0.24830864874748582,0.46123920984572514,0.5360556206829449,0.5872003034991176,logistic,0.9181778929188256,0.15393334844706416,0.5326236693800876,0.6417769376181475,0.6243454795269707,0.8287639010962973,0.5453942275793432
256,0.5147627999557669,0.643368010403121,0.2410930473884469,0.44223052889578396,0.5319801454259863,0.5772347845026059,logistic,0.9164158369993054,0.14754445385266723,0.49567939887288665,0.6587901701323251,0.5963032187554901,0.8264605209129244,0.5147627999557669
512,0.5220612628552471,0.6511702986279257,0.24122191011235955,0.4461961043701427,0.5319508585004985,0.5772678095625896,logistic,0.91577752553916,0.148124191461837,0.5051972448340639,0.6493383742911153,0.603207742501699,0.8259647170183364,0.5220612628552471
1024,0.5741457480924472,0.7056485515554537,0.23026184289426344,0.46795519722485857,0.5257303617164414,0.5612536738899614,logistic,0.9054531188701451,0.14600760456273765,0.5780839073262367,0.5444234404536862,0.6500299362990632,0.8166005971254545,0.5741457480924472
1,0.8022780050868075,0.8863751906456533,0.23914893617021277,0.562762063407933,0.5586235652006153,0.5694915324456418,tree,0.899754870339311,0.21749226006191952,0.8733876017532874,0.2655954631379962,0.8106519376062841,0.8199324837780503,0.8022780050868075
2,0.7556120756386155,0.8528432547609536,0.2796610169491525,0.5662521358550531,0.5619986587749437,0.60374289931618,tree,0.9105644817289918,0.21343283582089553,0.8020037570444584,0.4054820415879017,0.7857828978434609,0.8290024689709729,0.7556120756386155
4,0.7097202255888533,0.8176956733106465,0.28803905614320585,0.5528673647269262,0.5599069610825407,0.6195738583568198,tree,0.9178359837854693,0.20197793837961203,0.7372573575453977,0.501890359168242,0.7557276647998479,0.8340830464815439,0.7097202255888533
8,0.6830697777286299,0.7952272077736496,0.29926650366748164,0.5472468557205656,0.5638248303791334,0.6376908262538574,tree,0.9258026950590584,0.20184696569920843,0.6969317470256732,0.5784499054820416,0.737201505579209,0.8411023564919102,0.6830697777286299
16,0.6365144310516422,0.7581131797777614,0.2690682677340449,0.5135907237559032,0.5475440578625453,0.608459090946754,tree,0.9191648822269807,0.17592323349810993,0.6450845335003131,0.5718336483931947,0.7008966015468368,0.8322081572070597,0.6365144310516422
32,0.5979210439013601,0.7233297823771115,0.2645631067961165,0.493946444586614,0.5449781642827966,0.6066942625172671,tree,0.921659879775063,0.1682964487905301,0.5952410770194114,0.6181474480151229,0.669655654016535,0.8335189409293663,0.5979210439013601
64,0.5730399203804047,0.7000233082122601,0.25963566634707574,0.4798294872796679,0.5424399670682566,0.6020347106401062,tree,0.9220221039705281,0.1628578301659851,0.5641828428303068,0.6398865784499055,0.6484994637918946,0.8332024864005616,0.5730399203804047
128,0.5682848612186221,0.6959975081762966,0.2555301296720061,0.4757638189241513,0.5400863157395638,0.596472355420667,tree,0.9201152975087502,0.16005733397037744,0.5596743894802755,0.6332703213610587,0.6444643348424981,0.831191121303553,0.5682848612186221
256,0.5481587968594493,0.6770981507823614,0.24779086892488955,0.46244450985362545,0.5357024848344003,0.5863059043835737,tree,0.9175412293853074,0.15386374028349337,0.5365059486537257,0.6361058601134215,0.6268706704986938,0.8281935810971596,0.5481587968594493
512,0.5362158575693907,0.6651764330193198,0.24568345323741006,0.45542994312836493,0.5345647108222032,0.5836429482027383,tree,0.9174190706892755,0.15171035095513105,0.5217282404508453,0.6455576559546313,0.6160971924344188,0.8278337753803378,0.5362158575693907
1024,0.5965940506469092,0.7261672421558325,0.23425692695214106,0.4802120845539868,0.5284405287608698,0.5665855047211632,tree,0.9063144088439198,0.15056664867781974,0.6057608015028177,0.5274102079395085,0.6686154215779816,0.8178945116576172,0.5965940506469092
1,0.816874930885768,0.8950038042099924,0.2843560933448574,0.5896799487774249,0.5841625537090643,0.5974357047062486,forest,0.906382432258893,0.2619426751592357,0.8839073262366938,0.31096408317580343,0.8235601153793706,0.8309851898601938,0.816874930885768
2,0.7475395333407056,0.8466447235843353,0.28633948108783996,0.5664921023360876,0.563493702655892,0.6110610277067232,forest,0.9130686757461606,0.21391872956562355,0.7892298058860363,0.43289224952741023,0.7810909309755448,0.8312705287751324,0.7475395333407056
4,0.7060709941391131,0.8147477000278784,0.28892455858747995,0.5518361293076792,0.5600421982496757,0.6211972353645125,forest,0.9185918591859186,0.20149253731343283,0.7319974953036944,0.5103969754253308,0.7532281950357362,0.8346936967905753,0.7060709941391131
8,0.6864978436359616,0.7977744489621228,0.3029259896729776,0.5503502193175502,0.5657338006971242,0.6412718554283611,forest,0.9267484255883328,0.2047191758059156,0.7003130870381966,0.5822306238185255,0.7398788755984255,0.8422734785276452,0.6864978436359616
16,0.631980537432268,0.7541371158392435,0.26857142857142857,0.511354272205336,0.5472226658849948,0.6083516115400687,forest,0.9194739686542965,0.174971363115693,0.6391984971822167,0.5775047258979206,0.6973275949800875,0.8323697160102799,0.631980537432268
32,0.5936083158243946,0.7193585337915235,0.26367461430575034,0.4915165740486369,0.5445122136291692,0.6058920731570182,forest,0.9217221135029354,0.167302313755403,0.5898559799624296,0.6219281663516069,0.6660450773261969,0.8334575831332695,0.5936083158243946
64,0.5691695233882561,0.697092209609703,0.2542113323124043,0.4756517709610536,0.5392990661979363,0.5945134603752547,forest,0.9192126307156039,0.15938550168026885,0.5614276768941766,0.6275992438563327,0.6452766651907554,0.8303154613559462,0.5691695233882561
128,0.5682848612186221,0.6959975081762966,0.2555301296720061,0.4757638189241513,0.5400863157395638,0.596472355420667,forest,0.9201152975087502,0.16005733397037744,0.5596743894802755,0.6332703213610587,0.6444643348424981,0.831191121303553,0.5682848612186221
256,0.5689483578458476,0.6982037782595231,0.2460348162475822,0.4721192972535526,0.5345441213256559,0.5829089987961833,forest,0.9144189819509227,0.1546692607003891,0.5646837820914214,0.6011342155009451,0.645301559769129,0.8255308690367279,0.5689483578458476
512,0.5362158575693907,0.6651764330193198,0.24568345323741006,0.45542994312836493,0.5345647108222032,0.5836429482027383,forest,0.9174190706892755,0.15171035095513105,0.5217282404508453,0.6455576559546313,0.6160971924344188,0.8278337753803378,0.5362158575693907
1024,0.5965940506469092,0.7261672421558325,0.23425692695214106,0.4802120845539868,0.5284405287608698,0.5665855047211632,forest,0.9063144088439198,0.15056664867781974,0.6057608015028177,0.5274102079395085,0.6686154215779816,0.8178945116576172,0.5965940506469092
1,0.7537321685281433,0.8485549132947977,0.34131913635019223,0.594937024822495,0.588404163591825,0.6633543162806443,mlp,0.928422619047619,0.248385708136031,0.7813400125234815,0.5453686200378072,0.7892100662299527,0.8488606316823133,0.7537321685281433
2,0.6730067455490435,0.7868828828828829,0.29779149845642366,0.5423371906696532,0.5628416787956817,0.6381422279249964,mlp,0.9268251273344652,0.1988582302568982,0.6836568566061365,0.5926275992438563,0.7296608675424877,0.8416554958948914,0.6730067455490435
