k,MD,LM,model,accuracy,f1_0,f1_1,macro_avg_f1,macro_avg_precision,macro_avg_recall,precision_0,precision_1,recall_0,recall_1,weighted_avg_f1,weighted_avg_precision,weighted_avg_recall
1,0,0.0,logistic,0.7825520833333334,0.8416311047889995,0.6531671858774662,0.7473991453332329,0.7353037020811107,0.7958098540673313,0.9288330716902146,0.5417743324720069,0.7693974859124404,0.8222222222222222,0.7946991718569283,0.8324463739356806,0.7825520833333334
2,106093,31662.8056,logistic,0.77880859375,0.8431983385254413,0.6246893123446562,0.7339438254350488,0.721221965343701,0.7655766337744461,0.9015544041450777,0.5408895265423243,0.7919375812743823,0.7392156862745098,0.7887844697011247,0.8117403965389234,0.77880859375
4,148709,34504.5889,logistic,0.7859700520833334,0.8500057032052013,0.6265265549559784,0.7382661290805899,0.7255878639043043,0.7642286476792711,0.8971827594509992,0.5539929683576093,0.8075422626788037,0.7209150326797386,0.7943541574986077,0.8117204579580163,0.7859700520833334
8,171976,40786.9258,logistic,0.767578125,0.8334111059262715,0.6157158234660925,0.724563464696182,0.7129031408009165,0.7609390006544448,0.9024759979787772,0.5233302836230558,0.7741655830082358,0.7477124183006536,0.7791998783605042,0.8080598288765225,0.767578125
16,205556,47661.1028,logistic,0.7701822916666666,0.8384808968199496,0.601804850535815,0.7201428736778823,0.7085525101513473,0.7458536253686563,0.8878391472868217,0.529265873015873,0.79432162982228,0.6973856209150326,0.7795430142003653,0.7985459979322398,0.7701822916666666
32,228506,52677.2274,logistic,0.7503255208333334,0.8180308422301305,0.6023846552617936,0.710207748745962,0.7013524173852903,0.753383989052925,0.9035639412997903,0.4991408934707904,0.7472908539228436,0.7594771241830065,0.7643298874675075,0.8028531237251859,0.7503255208333334
64,254101,63777.3726,logistic,0.70263671875,0.7695218872208907,0.5810593900481541,0.6752906386345223,0.6840803966008263,0.74456810899479,0.920615756112285,0.4475450370893677,0.6610316428261812,0.8281045751633986,0.7225903083351017,0.8028100594806015,0.70263671875
128,293020,74993.6829,logistic,0.67919921875,0.743593079224665,0.5716148663334057,0.6576039727790354,0.6791175396302054,0.7394481416320321,0.9300357956394403,0.4281992836209704,0.6194191590810576,0.8594771241830066,0.7007664734753769,0.805066742353591,0.67919921875
256,317096,78544.4274,logistic,0.6845703125,0.7533723593789768,0.562528216704289,0.6579502880416329,0.6710544666014712,0.7279524380189875,0.9124537607891492,0.4296551724137931,0.6415257910706545,0.8143790849673203,0.7058476949433857,0.7922255966917704,0.6845703125
512,340180,88759.1683,logistic,0.6624348958333334,0.7285340314136126,0.5537865748709122,0.6411603031422624,0.6662302804812854,0.7221703766031771,0.9196959682749505,0.4127645926876203,0.6031642826181187,0.8411764705882353,0.6850178190909674,0.7934581745495898,0.6624348958333333
